handleId,fieldType,name,description,productImageUrl,collection,isbn,price,visible,inventory,additionalInfoTitle1,additionalInfoDescription1,,,
9788126704279,Product,Khattar Kaka,Khattar Kaka - Harimohan Jha,,Harimohan Jha,9788126704279,199,TRUE,1,Written By Harimohan Jha,Khattar Kaka - Harimohan Jha,,,
9788126704736,Product,Ve dina,Ve dina - Nirmal Verma,,Nirmal Verma,9788126704736,225,TRUE,1,Written By Nirmal Verma,Ve dina - Nirmal Verma,,,
9788126704804,Product,मैला आँचल,मैला आँचल - फणीश्वर नाथ रेणु,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126704804.png,फणीश्वर नाथ रेणु,9788126704804,399,TRUE,2,Written By फणीश्वर नाथ रेणु,मैला आँचल - फणीश्वर नाथ रेणु,,,
9788126704927,Product,Kagaz Aur Canvas,Kagaz Aur Canvas - Amrita Pritam,,Amrita Pritam,9788126704927,350,TRUE,1,Written By Amrita Pritam,Kagaz Aur Canvas - Amrita Pritam,,,
9788126705245,Product,प्रतिनिधि कहानियाँ,प्रतिनिधि कहानियाँ - Munshi Premchand,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126705245.png,Munshi Premchand,9788126705245,75,TRUE,1,Written By Munshi Premchand,प्रतिनिधि कहानियाँ - Munshi Premchand,,,
9788126705276,Product,Deewan E Galib,Deewan E Galib - Ali Sardar Zafari,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126705276.png,Ali Sardar Zafari,9788126705276,395,TRUE,1,Written By Ali Sardar Zafari,Deewan E Galib - Ali Sardar Zafari,,,
9788126706044,Product,Pratinidhi Kavitayen : Nagarjun,Pratinidhi Kavitayen : Nagarjun - Nagarjun,,Nagarjun,9788126706044,75,TRUE,1,Written By Nagarjun,Pratinidhi Kavitayen : Nagarjun - Nagarjun,,,
9788126706273,Product,Neem Ka Ped,Neem Ka Ped - Rahi Masoom Raza,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126706273.png,Rahi Masoom Raza,9788126706273,150,TRUE,2,Written By Rahi Masoom Raza,Neem Ka Ped - Rahi Masoom Raza,,,
9788126706662,Product,Krishnavtar V-5 Satyabhama,Krishnavtar V-5 Satyabhama - K.M. Munshi,,K.M. Munshi,9788126706662,150,TRUE,1,Written By K.M. Munshi,Krishnavtar V-5 Satyabhama - K.M. Munshi,,,
9788126706907,Product,प्रतिनिधि कविताएँ,प्रतिनिधि कविताएँ - हरिवंश राय बच्चन [Harivansh Rai Bachchan],https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126706907.png,हरिवंश राय बच्चन [Harivansh Rai Bachchan],9788126706907,75,TRUE,1,Written By हरिवंश राय बच्चन [Harivansh Rai Bachchan],प्रतिनिधि कविताएँ - हरिवंश राय बच्चन [Harivansh Rai Bachchan],,,
9788126707133,Product,Agle Janam Mohe Bitia Na Kijo,Agle Janam Mohe Bitia Na Kijo - Qurratulain Hyder,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126707133.png,Qurratulain Hyder,9788126707133,60,TRUE,2,Written By Qurratulain Hyder,Agle Janam Mohe Bitia Na Kijo - Qurratulain Hyder,,,
9788126707263,Product,Tarkash,Tarkash - Javed Akhtar,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126707263.png,Javed Akhtar,9788126707263,199,TRUE,2,Written By Javed Akhtar,Tarkash - Javed Akhtar,,,
9788126707713,Product,Pratinidhi Kavitayen : Faiz Ahmed Faiz,Pratinidhi Kavitayen : Faiz Ahmed Faiz - Faiz Ahmed Faiz,,Faiz Ahmed Faiz,9788126707713,75,TRUE,1,Written By Faiz Ahmed Faiz,Pratinidhi Kavitayen : Faiz Ahmed Faiz - Faiz Ahmed Faiz,,,
9788126707850,Product,Pratinidhi Kahaniyan : Mohan Rakesh,Pratinidhi Kahaniyan : Mohan Rakesh - Mohan Rakesh,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126707850.png,Mohan Rakesh,9788126707850,75,TRUE,2,Written By Mohan Rakesh,Pratinidhi Kahaniyan : Mohan Rakesh - Mohan Rakesh,,,
