handleId, fieldType, name, description, productImageUrl, collection, isbn, price, visible, inventory, additionalInfoTitle1, additionalInfoDescription1
9789350001486, Product, मिस टीन वाला (मंटो अब तक - 7), मिस टीन वाला (मंटो अब तक - 7) - Saadat Hasan Manto, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001486.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=Az4SswI1J2VqRLH7o99kGWo3nRK6oOoSHo1Aw8jOYsdm8J5JRMN%2Bl5oN4kq2ngO%2BFP8%2BRKelG2wEkQjc9GbX%2B%2FBh8L96oqqybEScXBLEr02zRuDspnvSqatOkyQEDx7b7UX1Ozbccr2W3djZv6FlXoMkx7EKOs0Y8Tfus8wCsFok3YTmrgU0XIMoADLga4IEBM41AnIv1gD1WFYndJidVLkgp9TNNoEnCiM2sO9Qcy14vXaCOYkGZJth3hwY%2Fweek9nN4PpVSLY2pPhppo%2FCyyLdqV8ovPTy%2BboJmZtugzABouzUbgb02y1xgcpLByWKe3flWUht6Xcnlw1rpuzYsA%3D%3D, Hindi, 9789350001486, 250.0, TRUE, 2, Written By Saadat Hasan Manto, मिस टीन वाला (मंटो अब तक - 7) - Saadat Hasan Manto
9789350001493, Product, गर्भ-बीज (मंटो अब तक - 8), गर्भ-बीज (मंटो अब तक - 8) - Saadat Hasan Manto, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001493.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=kB0J%2FfqSykoJKFA2FtQPJRQk6e%2F7RkStHXHYTRH9lHNKr54bltGwtP2op%2FOha3wGBEDImG5uBsYcC6AMmhB58viwppdRLFFORSg44Im0G5mzB3g2zW2GRMsbpLR0mHhHBFM3MDTSY4ejcpncH5zLkME09YLlsnxF8yw3Q6so5%2BIKsE7eOkOFDoot9pAB3wbLk0khot51LTgZZsytB%2Bh9O4YTw1TVAv6bkNX6MWmOxtHGZFVxk68O6Ci%2FWHEEjbQF9K17MA5%2FQCtlec8DkYFd4MuDCAdhdxDLY9vAybt%2FRFP1ZuBK11Cpwn6VupicB9oAHp8bHN6h79kwgww5fX2%2FTQ%3D%3D, Hindi, 9789350001493, 250.0, TRUE, 2, Written By Saadat Hasan Manto, गर्भ-बीज (मंटो अब तक - 8) - Saadat Hasan Manto
9789350001561, Product, एमेके: एक गाथा, एमेके: एक गाथा - Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001561.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=xDGzGYC3I1%2BJaqJl7z%2BANEtL28ltN1dm9lCvRS9XMgW02o3nMAQCpU9F%2BARjfsPTOhvcRxL%2FTE5E%2FomdX1t1bbfVdtI03ZIAM862hjLlIPEBj3bZD7yTvby4CcvV%2FZfZMrgy2R8UQWt6%2F1WhhPElN6uPc78%2BKSVyhT8n4XgcE%2Bht8b0dRuLWFjoUqHbp45zd2eXn%2FnuM%2FXmf5tkpW%2FFCR44EWDg4q%2BE6jevZ8%2FyU0oOoqQOBN6GxrW%2FcfLS037sdaMqmrdZYCcyoyo9PzOw2zz1PJqzpa2ZbdhOXw4A33unF7wrZGMpZ5N%2F0E8P8B%2BvR9zdyO%2FHba56ycsqh0fd6yQ%3D%3D, Hindi, 9789350001561, 200.0, TRUE, 1, Written By Nirmal Verma, एमेके: एक गाथा - Nirmal Verma
9789350001578, Product, Bacapana, Bacapana - Tras. Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001578.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=oAY0EfIFp0ZbUT0%2Frw3JkGJ9jYfOsJPNDAYTvVA0g9S6ojaYIyVun5Z19qTEQwtVF2dLGxZQaEpt5hjkpIpCQBaVYlEP8YJn4hhKEkr%2FxJ2HGttNJkr9T4vIbIaNyg4o%2B4%2BLCCR%2FNWI6xEydRz9kjH1rrgVki9xZf4d6AWs1oaOdBT7HgQTdEl%2FG1twhD3rpc56fOrWNSaxQfqL7XtuFxq3Oa%2BJkbYkY2jEoPgSvhMGCXWgWx98I3NFjXr0JGDZK%2F14ZXcZ2lkjkb8n1%2BSFEiMwZPR8gqR9qHSyBPuSgI61ta58aGXQghIIy9mJAOYwWch9K57qSYzLGFTXVc2NMNQ%3D%3D, Hindi, 9789350001578, 395.0, TRUE, 1, Written By Tras. Nirmal Verma, Bacapana - Tras. Nirmal Verma
9789350001585, Product, Jhopadi Wale Aur Anya Kahaniya, Jhopadi Wale Aur Anya Kahaniya - Mihail Sadoveanu / Tras. Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_9789350001585.jpeg?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=cBz2N99Nu0ldJGpodnxIxHxxz0D2ZWrQcSpaFLSEtUzMA%2BjWi6INLsJ74Er3FxgdftvaxxD1hCxuP%2BN4yljCXfuEvboNBQvRF456%2FwMBrYCmHiFXEustmDKmSNpO%2FNXeDCOH5M9CrUrFFgD1OS7yPdrbz0miY7utiDTQjia7YT4FPT1wUOMsCwtwx4fio0VHEaQpIDpm%2FvfpbiLoitndSY2OgMc%2FF4HXUYVfoZ02d7Rwo4eP%2BFuHHIid%2BLil2Okd8DJV4lrvRJ97d4EOcotNVJvB6XvAQzRsTCn2w%2FbGeEZRDXrthB4lNRfiPAtTWdlU3ENTrzMayw4H3jdtmM3baA%3D%3D, Hindi, 9789350001585, 250.00, TRUE, 1, Written By Mihail Sadoveanu / Tras. Nirmal Verma, Jhopadi Wale Aur Anya Kahaniya - Mihail Sadoveanu / Tras. Nirmal Verma
9789350001592, Product, Ratn-Kangan Tatha Anya Kahaniyan, Ratn-Kangan Tatha Anya Kahaniyan - Aleksander Kuprin / Tras. Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_9789350001592.jpeg?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=NM%2FUYwv04bP5%2FP8NEFqvStezeTiGhLnIzUPA93b%2BOM8ozy%2BerwuETFF9nbWXJhxYDnXmRaKrdkDVk8Sl7%2BuXy95oWsWcr0ww1hJIzne3eMcZvaaykLKYgibH8bC5Qpb2UjIDygE4wUojcHiz0az6SQS3VJyH0pYMknef1XVKBsKa3I6lGd6Dj7h1nbJve8ZD%2BFMTDmWlCpIbmARNpG5eiPGg9VQZmTtkjk83%2Bg59Hgj2aya4cdSHTEkBycOfllJjTlOscGWwE4wt8qzN5KWviTeiFpRxWm4s0R6hPfuOnx0fFSMScLF6e66F5kwXnTUtuyW5UWakHcM%2FSdcYmwogVg%3D%3D, Hindi, 9789350001592, 150.00, TRUE, 3, Written By Aleksander Kuprin / Tras. Nirmal Verma, Ratn-Kangan Tatha Anya Kahaniyan - Aleksander Kuprin / Tras. Nirmal Verma
9789350001615, Product, Ticket-Sangrah, Ticket-Sangrah - Karel Chapek / Tras. Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_9789350001615.jpeg?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=Tc9gHU5y1EneGI1KWhBzofwRezcYxCZvRpeOloAmPy1Q7yxdYC%2BMMlnRNAhT9bevuiUDLxucZlBjK50vAAX2tfGv%2FjS4SQNHr3hQxPKbXsau8sAJYuzaFYnc8HsoFTxuYeWzz8ViZHUUhv9XcbnD3un6BZ%2F1bbvZYknJW2Bfzaa8XLNL3ubVTpiPDa1YUtgaC%2B4NcHOtUs9M0EiWjnsHw6Xsz3T%2BHlCehpb8%2F16H4JnIP8GzyG%2F0GRRUfwVfcSwPrs3TT4R0baqiobRge9SDKb5wcSesiZ8WycLyqOLRU2sxINmQMP%2BCwHRyu54VZ6naShj3%2B%2Bou2hydbFATJR9Iqg%3D%3D, Hindi, 9789350001615, 125.00, TRUE, 3, Written By Karel Chapek / Tras. Nirmal Verma, Ticket-Sangrah - Karel Chapek / Tras. Nirmal Verma
9789350001622, Product, Khel-Khel Mein, Khel-Khel Mein - Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001622.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=loUQeoCX7DeTs6pfnvN7QBUBzh1F7aQNm4PHgtKJ3MVJpbWLWIb8RMRDlWq%2BJH1lDAumyti6xZaLlAsaxC7NdObOA4NQOGtOcd8NsA7dA9qS9VgvfCsbm8ku2gkGMR1LfmIcnoixtMeQ2AFVvTsOkpMbDtrTJQgAUJ%2Fa0Oik50p0GTciY3BvfhK7KOSETPV3uu%2BuRB%2BzW5Yr89Ncrii%2Fv3WSEVWDL6lW0FB4%2FDzEz%2BTypUUFIGaGFL5jrZkY%2FKHapr4lVb%2FJ75swB4m3l5SB0cGr1h8vdpyilcsBf8LatJVNVEfQumLGgmuvi9Ek9i1c8AD1uKUQHLcf15uZFfOC9w%3D%3D, Hindi, 9789350001622, 125.0, TRUE, 1, Written By Nirmal Verma, Khel-Khel Mein - Nirmal Verma
9789350001639, Product, Parajay, Parajay - Aleksander Fadeyev / Tras. Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001639.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=cZxlM1EQuuQ4jh9zB%2BOPiRyoaVuTZ5I37iP1hGa8ya1nCBOCgMNyWsAgKXjWQSz5xFFb7%2BjVYJqO1frVDQYTiufbaVISG%2ByxZ10lnSHAz43TOqqKu6z2HkC1EogNKeI73vAPYpEotJOIUpy3va5%2FJdB9yg9k3L2VD49UJTstrya68F0mbDLi%2FUQP69u1JyM5xNgC2R1VpKUwle0jjlhFFVGbi1VsyLfN7R7sKacUapKTqsayvkWE2CfideKvhKzYAMyyv%2FwL4cvNJmLYMMAdrlBQwIlicSd3PTtsz0Wed1CyMYbeEYrln52rN2SglsapJsr%2BJQhgjppn%2FPNb2lpD5g%3D%3D, Hindi, 9789350001639, 150.00, TRUE, 3, Written By Aleksander Fadeyev / Tras. Nirmal Verma, Parajay - Aleksander Fadeyev / Tras. Nirmal Verma
9789350001646, Product, Romeo Juliet Aur Andhera, Romeo Juliet Aur Andhera - Jan; Verma Otčenášek, /HandyLibrary/Photos/HandyLibrary_9789350001646.jpg, Hindi, 9789350001646, 395.0, TRUE, 1, Written By Jan; Verma Otčenášek, Romeo Juliet Aur Andhera - Jan; Verma Otčenášek
9789350001653, Product, आर.यू.आर., आर.यू.आर. - Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001653.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=xVP5abROPARkfLEnQWeQt5wLG5dXEZrjsI7uC8X1XlunzU3pPkVQnAaBwrU2AQvKhvGEVrpH3dZuUU75GlvS4DICcAXBGFUOcGuLzIu%2BurzPtJIVtgfVokx4STheYX%2BMDJLUoj%2BOJ0CVjhWy%2FSF8cC6rmQFg3q6XHMrI3JATmCiNuUL2JnXC%2FXA0JMcmyYIIaq32GSm5rlBKRqN1l%2B%2BTfFiTT1DuYJn5JLe90TcBlUyeAiH0g4H4WM2hekEK%2BL%2FTQx3FEXh4XQC3ceAr1JrX4T0kuRkCia9GxPnUEdyalmyo7PYQGkZ8Zxb9dy4w5grtyp5CkH4gRg170ZGQos9EVw%3D%3D, Hindi, 9789350001653, 250.0, TRUE, 1, Written By Nirmal Verma, आर.यू.आर. - Nirmal Verma
9789350001660, Product, बाहर और परे, बाहर और परे - Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001660.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=ahE671zCbMB1WE%2BdY0O5RSj%2Bvn%2FgWB1qOYYTFjpUqczR8rSnQWMp4sswt2Su6xt8y%2BLLbfCFtd%2F1G8JMmnWVjV9LlsSsSBhzIqFItSdDATydqsdLXgA3ee8AfNSZV2%2BnCMZD0zT90AeCMWd1WY0MKZ9CnOcHw%2BVgfe%2FFWpXoHqpaibXexC%2BV%2B85iobYSnu6qIHGXyx2Xo6LtQtpTYuhBLqWv8ZFRtzBxzlh5SPUzNqX0aRpc%2BRi8ejBgWUESI3usqa5kJR9Pp4JujkdvlVvRBpHcfD6DP%2BtzSbID%2BS4uaEmVpRAa2Y9%2Bfyt%2B0Y0N%2Fhwz1%2Bui%2BF0FbRC5Kgx%2B4zxw5Q%3D%3D, Hindi, 9789350001660, 125.0, TRUE, 2, Written By Nirmal Verma, बाहर और परे - Nirmal Verma
9789350001677, Product, इतिहास स्मृति आकांक्षा, इतिहास स्मृति आकांक्षा - Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001677.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=KFZcnaAEpw%2F%2B%2Bpz3J7b7K4fiz0IrNs6XXjT7oszkb4qbVNdiQ9cS%2BtvSRfp0EYMn2zIJzfawDRhrDrcmhrQPKObuqdm5Sm4g7Fgn3RdqCJFvjLaZmSZGSKV5ro%2FhQ%2FJZ6BiWDGMUllFyrc95%2FRBdKguN9Fw4lk4e6DqnZ2EIKRxpKDhVmm3beGT10Jc2Fz06uyD5k1%2B%2FxkLz6UCZ2XGWIvNE3s%2B1a0VPN8YY6x%2BfV0XP4gjn5jNd%2BUXXvQMNsoL3%2FLBLitezow1iCSnOmJagVtjP%2FMxrXvB5bxjQP3J2BnXAMlpcJgwdzwJ4mxxOLbPG0FK9qGlQ69N3uWFtyG%2FKIQ%3D%3D, Hindi, 9789350001677, 150.0, TRUE, 2, Written By Nirmal Verma, इतिहास स्मृति आकांक्षा - Nirmal Verma
9789350001684, Product, देहरी पर पत्र, देहरी पर पत्र - Nirmal Verma, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001684.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=Jcv8lnb78xl%2BzemyysMIN%2FrYydQFVrjCUwMNk%2BGG3QmR60tF2rG1VGF%2Fl1oL3yNJJdL6dZLK7linh9lG6MTt%2Fm5R1Lvy77huaH1BR%2B9LVdrpQRE06CaoNAPbl5sIIKPdhfzQvW5sVaKfdhDNPOmXkvrBznDKHT0LN4KSgXmRwzKCDNj2dbzPM5AOwsYwkXqMcOQu3OYO4%2FfSsy9LjIdUvNHmm%2Ft2UeEK9Ks2dSo5%2BsR7yJZMw4wp3fiPDYecGGl1QS5lAjlR7hfrcchlUHHZCfVHcCsa0qQCHCU83FbpvVF2z0s85SjRtD4Jjh9SdL92qvb2ZVs03yk0XrGqwmLmow%3D%3D, Hindi, 9789350001684, 375.0, TRUE, 1, Written By Nirmal Verma, देहरी पर पत्र - Nirmal Verma
9789350001776, Product, Khoya Hua Sa Kuchh, Khoya Hua Sa Kuchh - Nida Fazli, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001776.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=H%2FC7AQS2huBFtQIDiqUgpTRYeyzgfmBqIDoPE5f6AOleordA244MYwUM20byqxZ%2ByEP7MYodr%2BrOEJHh5QDbL5JPLawMJneiE%2FGRQT0%2FfG5qf51bPYv%2BNc6F6ScKxvRq5IZ%2FTVYiASPXI7a%2FQS862P%2BOQQ0JmDmGfiEdBWoj0CHlp3h4azmfta4YxrAXWaAV8QYEAco%2FeLgOZiLd%2Fw%2BHI%2FXnFZx9HihDvZGG%2FrZURVPmvIw91QnimBN9la3kkmGw%2Bq0n9zp3jNilX%2BLbPot4%2FKSFLJzAtW9dAaPy%2B30Hcqi6cRTjVbX9Ol7dfK249V3FT5%2Bjek3p42Da8sa5rD0exA%3D%3D, Hindi, 9789350001776, 295.0, TRUE, 1, Written By Nida Fazli, Khoya Hua Sa Kuchh - Nida Fazli
9789350001820, Product, Ek Ziddi Ladki, Ek Ziddi Ladki - Vijay Tendulkar, , Hindi, 9789350001820, 250, TRUE, 1, Written By Vijay Tendulkar, Ek Ziddi Ladki - Vijay Tendulkar
9789350001943, Product, Aadmi Ki Taraf, Aadmi Ki Taraf - Nida Fazli, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350001943.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=RWexEtiAJqXOJFq7gm4ERzwEIuYu3FNzJ06JZ4e2n7ffGSkDBPJ75ZpNiSQq5%2BNN2toCP6xsgutboJmJGJec02wPi21Td7X6srSgt0CkbKSpmD%2BiVGznIaC7himuCV5HZ9GmERuiI0NXntkzM791QUKQuS2B5ux8FT9pJ54bf4OFORELOtiqckxAHrqeW%2BpMeMl3HIJDAKRyry16wv8WACRjtMndru%2Fi4BMQOLFH7hRUeCeARWWn8sWmDTkmL%2Fj5U6yTltYQ0Uf03WZhw1ue8ReFE%2B2Yn88xkft2E2qG%2FbPCb0t86w9F7knFssosDBCV1BuZNN8BxPzdFohTC%2Fdgxw%3D%3D, Hindi, 9789350001943, 150.0, TRUE, 2, Written By Nida Fazli, Aadmi Ki Taraf - Nida Fazli
9789350002063, Product, शाहकार कहानियाँ, शाहकार कहानियाँ - Rājindar Singh Bedī, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9789350002063.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=BEHBVEEJl8DuWG0jLefnYoZ%2BjVq7XMuhzoDpVfHnxryCz%2FMflExx908qdOYkE7s3sESwngInvHDceb9yC5MAiH9TdYR%2BfMpHGsf0CbtBAnJNDdTzG8jo8zWglSV1x5DDmCjYlNV8oMzwp5CWIlwTKn6NoCyifoTAWQGV%2BECgNv0qyA3MZy96carF69RyF7JsZDFLJfFG%2FAO0zH7vTcE57L2n1MVMttooH4DXrtw6Be24yM6sEcF%2BaZMLmhxMkmUt%2Fd5XKCuz9CJARFgzl7RF9DLkEsRfZB%2BbT5fVbNGiqSQBTVJeVdxjsCktE82Cis3pIAj0jByzJlS2JnW2kR%2BJyw%3D%3D, Hindi, 9789350002063, 75.0, TRUE, 1, Written By Rājindar Singh Bedī, शाहकार कहानियाँ - Rājindar Singh Bedī
